number,value,datetime_start,datetime_complete,duration,params_atr_multiplier,params_atr_period,params_ema_period,state
167,19982.04353426828,2025-08-03 21:36:32.937347,2025-08-03 21:37:18.718993,0 days 00:00:45.781646,2.193510694033765,24,28,COMPLETE
168,5927.9772142607135,2025-08-03 21:36:33.043245,2025-08-03 21:37:18.794224,0 days 00:00:45.750979,2.2415529665723715,24,20,COMPLETE
169,2620.2495797561974,2025-08-03 21:36:33.088965,2025-08-03 21:37:39.232136,0 days 00:01:06.143171,0.6260064855019452,24,30,COMPLETE
170,20195.496500351313,2025-08-03 21:36:33.142734,2025-08-03 21:37:22.638643,0 days 00:00:49.495909,1.9799882230013468,24,27,COMPLETE
171,10617.836200971973,2025-08-03 21:36:33.200841,2025-08-03 21:38:26.186145,0 days 00:01:52.985304,2.1166959699911247,25,30,COMPLETE
172,20394.87086977067,2025-08-03 21:36:33.212176,2025-08-03 21:37:22.448904,0 days 00:00:49.236728,2.09515430766554,24,29,COMPLETE
173,15118.216340959982,2025-08-03 21:36:33.225490,2025-08-03 21:37:23.019127,0 days 00:00:49.793637,2.0886610314838396,23,30,COMPLETE
174,3948.781062980186,2025-08-03 21:36:33.261097,2025-08-03 21:39:49.867574,0 days 00:03:16.606477,0.5794202566820688,25,30,COMPLETE
175,13574.08938104876,2025-08-03 21:36:33.271481,2025-08-03 21:39:47.644460,0 days 00:03:14.372979,2.166822385853737,24,30,COMPLETE
176,3292.52790225175,2025-08-03 21:36:33.278638,2025-08-03 21:37:22.101496,0 days 00:00:48.822858,0.5670139885140566,24,30,COMPLETE
177,11053.476466517568,2025-08-03 21:36:33.325354,2025-08-03 21:38:28.116420,0 days 00:01:54.791066,2.0864639524623354,25,30,COMPLETE
178,15350.397485397008,2025-08-03 21:36:33.352144,2025-08-03 21:37:41.518474,0 days 00:01:08.166330,2.1557442576394603,25,31,COMPLETE
179,6518.977616911353,2025-08-03 21:36:33.402953,2025-08-03 21:37:41.292325,0 days 00:01:07.889372,2.2390277163599097,25,30,COMPLETE
180,13041.641297726825,2025-08-03 21:36:33.507018,2025-08-03 21:37:42.468066,0 days 00:01:08.961048,1.923989865687753,24,32,COMPLETE
181,5187.776607810009,2025-08-03 21:36:33.519378,2025-08-03 21:37:42.108351,0 days 00:01:08.588973,0.5845765889431522,24,31,COMPLETE
182,13094.848653491043,2025-08-03 21:36:33.543651,2025-08-03 21:37:42.745583,0 days 00:01:09.201932,1.9897932989056952,24,30,COMPLETE
